"","Property","Price","Type","Bedrooms","Bathrooms","Station","URl","pp_pw"
"287","Fairfield, London NW1",2340,"flat",3,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/58775962/",195
"288","Ford Square, London E1",3900,"house",5,"NA","Whitechapel","https://www.zoopla.co.uk/to-rent/details/17505564/",195
"289","Burbage Close, London SE1",2340,"flat",3,"NA","Borough","https://www.zoopla.co.uk/to-rent/details/58677424/",195
"290","Southwark, London, Greater London SE16",3900,"house",5,"4","Rotherhithe","https://www.zoopla.co.uk/to-rent/details/58570336/",195
"291","Keats Close, London SE1",3900,"house",5,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/57819107/",195
"292","Steels Lane, London E1",2350,"house",3,"2","Shadwell","https://www.zoopla.co.uk/to-rent/details/59014668/",195.833333333333
"293","Lofting Road, Caledonian Road &amp; Barnsbury, London N1",2350,"house",3,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/59003666/",195.833333333333
"294","Farrier Street, Camden Town NW1",2350,"flat",3,"1","Camden Road","https://www.zoopla.co.uk/to-rent/details/58991220/",195.833333333333
"295","Bath Terrace, London SE1",2350,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58679374/",195.833333333333
"296","Osbaburgh Street, London NW1",3142,"flat",4,"1","Warren Street","https://www.zoopla.co.uk/to-rent/details/58831869/",196.375
"297","Burbage Close, London SE1",3142,"house",4,"NA","Borough","https://www.zoopla.co.uk/to-rent/details/55083733/",196.375
"298","Henshaw Street, London SE17",3142,"house",4,"NA","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/57873900/",196.375
"299","Greenland Quay, London SE16",2362,"house",3,"NA","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/51507245/",196.833333333333
"300","Leathermarket Court, London SE1",2362,"flat",3,"NA","London Bridge","https://www.zoopla.co.uk/to-rent/details/58656724/",196.833333333333
"301","Kennet Street, Wapping, London E1W",3163,"house",4,"3","Shadwell","https://www.zoopla.co.uk/to-rent/details/58948816/",197.6875
"302","Lofting Road, Angel N1",2383,"house",3,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/44607621/",198.583333333333
"303","Camden Street, Camden, London NW1",2383,"flat",3,"1","Camden Town","https://www.zoopla.co.uk/to-rent/details/58898751/",198.583333333333
"304","Conistone Way, London N7",2383,"flat",3,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/50238079/",198.583333333333
"305","Tredegar Road, London E3",2384,"house",3,"1","Bow Road","https://www.zoopla.co.uk/to-rent/details/59019452/",198.666666666667
"306","Swallowfield 25, London NW1",3185,"flat",4,"1","Great Portland Street","https://www.zoopla.co.uk/to-rent/details/58569184/",199.0625
"307","Caledonian Road, London N1",2395,"flat",3,"3","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/58987560/",199.583333333333
"308","Roding Mews, London E1W",3200,"property",4,"2","Wapping","https://www.zoopla.co.uk/to-rent/details/58744177/",200
"309","Spa Road, Bermondsey, London SE16",2400,"flat",3,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58683945/",200
"310","Hayles Street, Kennington SE11",3200,"house",4,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58675031/",200
"311","Fieldgate Street, Liverpool Street E1",2400,"flat",3,"2","Whitechapel","https://www.zoopla.co.uk/to-rent/details/43763133/",200
"312","Falmouth Road, London SE1",2400,"flat",3,"1","Borough","https://www.zoopla.co.uk/to-rent/details/55101984/",200
"313","Chatham Street, London SE17",2401,"property",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/48249849/",200.083333333333
