"","Property","Price","Type","Bedrooms","Bathrooms","Station","URl","pp_pw"
"442","Mayford, Oakley Square, Mornington Crescent NW1",3900,NA,4,"2","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/48644486/",243.75
"443","Hornbeam House, 22 Quebec Way, Canada Water SE16",3900,"flat",4,"NA","Canada Water","https://www.zoopla.co.uk/to-rent/details/43581869/",243.75
"444","Roding Mews, London E1W",3900,"house",4,"4","Wapping","https://www.zoopla.co.uk/to-rent/details/58805347/",243.75
"445","Beatty Street, Mornington Crescent NW1",2925,NA,3,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/55919889/",243.75
"446","Rosemary Street, London, Islington N1",3900,"house",4,"2","Essex Road","https://www.zoopla.co.uk/to-rent/details/58241412/",243.75
"447","Gower Mews Mansions, London WC1E",2925,"flat",3,"1","Goodge Street","https://www.zoopla.co.uk/to-rent/details/57908394/",243.75
"448","Weston Street, London SE1",2947,"flat",3,"2","London Bridge","https://www.zoopla.co.uk/to-rent/details/59002936/",245.583333333333
"449","Garland Close, London SE1",2947,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58393803/",245.583333333333
"450","Scala Street, Fitzrovia, London W1T",2990,"flat",3,"1","Goodge Street","https://www.zoopla.co.uk/to-rent/details/58546573/",249.166666666667
"451","Phoenix Court, London NW1",2999,"flat",3,"1","London St Pancras (Intl)","https://www.zoopla.co.uk/to-rent/details/58888836/",249.916666666667
"452","Long Lane, London SE1",2999,"house",3,"1","Borough","https://www.zoopla.co.uk/to-rent/details/58499146/",249.916666666667
"453","Argyle Street, King's Cross WC1H",3000,NA,3,"1","King's Cross St. Pancras","https://www.zoopla.co.uk/to-rent/details/59019074/",250
"454","Jupiter Way, Islington, London N7",3000,"property",3,"2","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/59009967/",250
"455","Roding Mews, London E1W",4000,"house",4,"4","Wapping","https://www.zoopla.co.uk/to-rent/details/58966274/",250
"456","The Tower, One The Elephant, Elephant &amp; Castle SE1",3000,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58595322/",250
"457","Alwyne Road, London N1",3000,NA,3,"2","Essex Road","https://www.zoopla.co.uk/to-rent/details/50767666/",250
"458","Tavistock Place, London WC1H",3012,"flat",3,"1","Russell Square","https://www.zoopla.co.uk/to-rent/details/55571751/",251
"459","Hornbeam House, 22 Quebec Way, Canada Water SE16",3012,"flat",3,"NA","Canada Water","https://www.zoopla.co.uk/to-rent/details/42359445/",251
"460","Hanson Street, Fitzrovia W1W",3012,"flat",3,"1","Goodge Street","https://www.zoopla.co.uk/to-rent/details/58657718/",251
"461","Southampton Row, Bloomsbury, London WC1B",3012,"flat",3,"1","Russell Square","https://www.zoopla.co.uk/to-rent/details/58299857/",251
"462","Medway Street, Westminster, London SW1P",3012,"flat",3,"2","St. James's Park","https://www.zoopla.co.uk/to-rent/details/58177778/",251
"463","Hornbeam House, 22 Quebec Way, Canada Water SE16",3012,"flat",3,"NA","Canada Water","https://www.zoopla.co.uk/to-rent/details/44293921/",251
"464","Dagmar Terrace, Islington N1",3033,"house",3,"2","Essex Road","https://www.zoopla.co.uk/to-rent/details/56177957/",252.75
"465","7 Fowey Close, Fowey Close, Kennet Street, Wapping E1W",3033,"flat",3,"1","Wapping","https://www.zoopla.co.uk/to-rent/details/42104145/",252.75
"466","Chiltern Heights, Caledonian Road N1",3050,"flat",3,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/59020304/",254.166666666667
"467","Avantgarde Place, Shoreditch E1",3050,"flat",3,"2","Shoreditch High Street","https://www.zoopla.co.uk/to-rent/details/58568624/",254.166666666667
"468","Chiltern Heights, 351D Caledonian Road, London N1",3051,"flat",3,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58893627/",254.25
"469","Old Street, London EC1V",4073,"flat",4,"3","Hoxton","https://www.zoopla.co.uk/to-rent/details/58741312/",254.5625
"470","Fitzroy Square, London W1T",3077,"flat",3,"2","Warren Street","https://www.zoopla.co.uk/to-rent/details/58392727/",256.416666666667
"471","St Georges Road, Elephant And Castle, London SE1",4117,"house",4,"2","Lambeth North","https://www.zoopla.co.uk/to-rent/details/58835103/",257.3125
"472","Swinton Street, London WC1X",3098,"flat",3,"NA","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/55142701/",258.166666666667
"473","Swinton Street, London WC1X",3098,"flat",3,"NA","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/51019473/",258.166666666667
"474","Kay Street, Bethnal Green, London E2",3098,"house",3,"2","Cambridge Heath","https://www.zoopla.co.uk/to-rent/details/58945781/",258.166666666667
"475","Elizabeth Mews, Kay Street, London E2",3098,"property",3,"NA","Cambridge Heath","https://www.zoopla.co.uk/to-rent/details/49007017/",258.166666666667
"476","Elizabeth Mews, Kay Street, London E2",3098,"house",3,"NA","Cambridge Heath","https://www.zoopla.co.uk/to-rent/details/59029410/",258.166666666667
"477","Elizabeth Mews, Kay Street, London E2",3098,"house",3,"2","Cambridge Heath","https://www.zoopla.co.uk/to-rent/details/48936685/",258.166666666667
"478","Burton Street, Bloomsbury, London WC1H",3120,"flat",3,"1","Russell Square","https://www.zoopla.co.uk/to-rent/details/47859837/",260
"479","Bedford Avenue, London WC1B",3120,"flat",3,"1","Tottenham Court Road","https://www.zoopla.co.uk/to-rent/details/55233056/",260
"480","Abbey Street, London SE1",3142,"house",3,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/48366421/",261.833333333333
"481","St. Pauls Mews, London NW1",4225,"property",4,"2","Camden Road","https://www.zoopla.co.uk/to-rent/details/58853079/",264.0625
"482","St Pauls Mews, Camden, London NW1",4225,"property",4,"2","Camden Road","https://www.zoopla.co.uk/to-rent/details/58728135/",264.0625
"483","Ridgmount Gardens, London WC1E",4247,"flat",4,"2","Goodge Street","https://www.zoopla.co.uk/to-rent/details/54949246/",265.4375
"484","Osnaburgh Street, London NW1",3200,"flat",3,"2","Warren Street","https://www.zoopla.co.uk/to-rent/details/59017739/",266.666666666667
"485","Crowndale Road, St Pancras, London NW1",3200,"flat",3,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/58755076/",266.666666666667
"486","Commercial Street, London E1",3200,"flat",3,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58469590/",266.666666666667
"487","Southwark Bridge Road, London SE1",3228,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58243003/",269
"488","Southwark Bridge Road, London SE1",3228,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/57490809/",269
"489","Bedford Court Mansions, Bedford Avenue, Bloomsbury, London WC1B",4312,"flat",4,"2","Tottenham Court Road","https://www.zoopla.co.uk/to-rent/details/35298837/",269.5
"490","New Drum Street, Aldgate, London E1",3237,"flat",3,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/55204193/",269.75
"491","Bartholomew Road, Kentish Town Camden, London NW5",4333,"house",4,"3","Camden Road","https://www.zoopla.co.uk/to-rent/details/49496551/",270.8125
"492","Acton Street, Kings Cross WC1X",3250,"flat",3,"2","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/59022181/",270.833333333333
"493","Cranfield House 97-107, Southampton Row, Russell Square WC1B",3250,"flat",3,"2","Russell Square","https://www.zoopla.co.uk/to-rent/details/52090994/",270.833333333333
"494","Ainger Mews, Primrose Hill NW3",3250,"house",3,"1","Chalk Farm","https://www.zoopla.co.uk/to-rent/details/58965169/",270.833333333333
"495","Gifford Street, Islington/Angel N1",3250,"flat",3,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58889892/",270.833333333333
"496","London SE16",3250,NA,3,"NA","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58881956/",270.833333333333
"497","Pavillion House, Water Gardens Square, London SE16",3250,"flat",3,"3","Canada Water","https://www.zoopla.co.uk/to-rent/details/58741084/",270.833333333333
"498","Back Church Lane, London E1",3250,"flat",3,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58647173/",270.833333333333
"499","Odhams Walk, Covent Garden WC2H",3250,"flat",3,"2","Covent Garden","https://www.zoopla.co.uk/to-rent/details/55009990/",270.833333333333
"500","Tompion Street, Clerkenwell, London EC1V",3250,"flat",3,"1","Farringdon","https://www.zoopla.co.uk/to-rent/details/58349692/",270.833333333333
"501","Two Fifty One, Southwark Bridge Road, Southwark SE1",3250,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/57079720/",270.833333333333
"502","Orde Hall Street, London WC1N",4350,NA,4,"3","Russell Square","https://www.zoopla.co.uk/to-rent/details/43949211/",271.875
"503","Victory Place, Elephant And Castle, London SE17",3293,"flat",3,"NA","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58922873/",274.416666666667
"504","Trafalgar Place, Elephant &amp; Castle, London SE17",3293,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/57827249/",274.416666666667
"505","B Phoenix Road, Camden, London NW1",3300,"flat",3,"NA","Euston","https://www.zoopla.co.uk/to-rent/details/58933330/",275
"506","Southampton Row, London WC1B",4450,"flat",4,"NA","Russell Square","https://www.zoopla.co.uk/to-rent/details/58827097/",278.125
"507","Hatton Garden, London EC1N",3358,"flat",3,"2","Chancery Lane","https://www.zoopla.co.uk/to-rent/details/52411257/",279.833333333333
"508","Hatton Garden, London EC1N",3358,"flat",3,"3","Farringdon","https://www.zoopla.co.uk/to-rent/details/51013806/",279.833333333333
"509","Claremont Square, Islington N1",4498,NA,4,"2","Angel","https://www.zoopla.co.uk/to-rent/details/58907049/",281.125
"510","Great Percy Street, London WC1X",3380,"flat",3,"2","Angel","https://www.zoopla.co.uk/to-rent/details/48322398/",281.666666666667
"511","Hatton Garden, London EC1N",3380,"flat",3,"2","Farringdon","https://www.zoopla.co.uk/to-rent/details/57288317/",281.666666666667
"512","New Drum St, London E1",3423,"flat",3,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58587609/",285.25
"513","Cendal Crescent, London E1",3445,"flat",3,"2","Shadwell","https://www.zoopla.co.uk/to-rent/details/58835859/",287.083333333333
"514","Heygate Street, Elephant Park, Elephant &amp; Castle SE17",3445,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58737569/",287.083333333333
"515","Cendal Crescent, Whitechapel E1",3445,"flat",3,"NA","Shadwell","https://www.zoopla.co.uk/to-rent/details/58726751/",287.083333333333
"516","The Silk District, Cavell St, Whitechapel, London E1",3445,"flat",3,"3","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58720096/",287.083333333333
"517","Wiverton Tower, 4 Drum Street, London E1",3445,"flat",3,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58660497/",287.083333333333
"518","Elephant Central, Elephant And Castle SE17",3466,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/57408902/",288.833333333333
"519","Camden Mews, London NW1",3467,"property",3,"3","Camden Road","https://www.zoopla.co.uk/to-rent/details/58824564/",288.916666666667
"520","Wiverton Tower, Aldgate Place, Aldgate E1",3467,"flat",3,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58632145/",288.916666666667
"521","Two Fifty One, Elephant &amp; Castle, London SE1",3467,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/57982765/",288.916666666667
"522","Hankey Place, London SE1",3500,"house",3,"2","Borough","https://www.zoopla.co.uk/to-rent/details/59028615/",291.666666666667
"523","Wansey Street, Elephant &amp; Castle, Elephant Park, London SE17",3575,"house",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58613747/",297.916666666667
"524","Quilter Street, London E2",3600,"house",3,"2","Hoxton","https://www.zoopla.co.uk/to-rent/details/59036570/",300
"525","Southwark Bridge Road, London SE1",3600,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58783681/",300
"526","Raleigh Street, London N1",3600,"house",3,"2","Essex Road","https://www.zoopla.co.uk/to-rent/details/57117351/",300
"527","Southwark Bridge Road, Elephant And Castle SE1",3666,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58781547/",305.5
"528","Long Acre, Covent Garden WC2E",3683,"flat",3,"2","Covent Garden","https://www.zoopla.co.uk/to-rent/details/58850978/",306.916666666667
"529","Southwark Bridge Road, London SE1",3683,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58549006/",306.916666666667
"530","New Drum Street, Aldgate, London E1",3683,"flat",3,"NA","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58364121/",306.916666666667
"531","Wiverton Tower Aldgate Place, Aldgate, London E1",3683,"flat",3,"NA","Aldgate East","https://www.zoopla.co.uk/to-rent/details/57921571/",306.916666666667
"532","Wiverton Tower, Aldgate Place, Aldgate E1",3683,"flat",3,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/57536889/",306.916666666667
"533","St George`S Circus, London SE1",3750,"flat",3,"2","Borough","https://www.zoopla.co.uk/to-rent/details/52913095/",312.5
"534","West One House, Fitzrovia W1W",3770,"flat",3,"2","Oxford Circus","https://www.zoopla.co.uk/to-rent/details/58626445/",314.166666666667
"535","Shoreditch Exchange, Shoreditch E2",3780,"flat",3,"2","Hoxton","https://www.zoopla.co.uk/to-rent/details/59030524/",315
"536","Emery Way, London E1W",3800,"flat",3,"3","Tower Gateway","https://www.zoopla.co.uk/to-rent/details/54904271/",316.666666666667
"537","The Old, London WC1R",3800,"house",3,"2","Holborn","https://www.zoopla.co.uk/to-rent/details/58625707/",316.666666666667
"538","Tabard Street, London SE1",3878,"flat",3,"3","Borough","https://www.zoopla.co.uk/to-rent/details/55524182/",323.166666666667
"539","Claremont Square, London N1",3878,NA,3,"2","Angel","https://www.zoopla.co.uk/to-rent/details/58903262/",323.166666666667
"540","Matilda Street, Barnsbury, London N1",3878,"house",3,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58899509/",323.166666666667
"541","73 Guilford Street, Bloomsbury, London WC1N",3878,"flat",3,"3","Russell Square","https://www.zoopla.co.uk/to-rent/details/57650362/",323.166666666667
"542","One The Elephant, St Gabriel Walk, Elephant &amp; Castle SE1",3900,"flat",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58340951/",325
"543","Ryland Road, Kentish Town, London NW5",3965,"house",3,"2","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/58757673/",330.416666666667
"544","Bloomsbury Way, London WC1A",3987,"flat",3,"2","Holborn","https://www.zoopla.co.uk/to-rent/details/54953187/",332.25
"545","Trafalgar Avenue, London SE15",4000,"house",3,"2","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/58952097/",333.333333333333
"546","Charlotte Street, London W1T",4100,"flat",3,"2","Goodge Street","https://www.zoopla.co.uk/to-rent/details/59032236/",341.666666666667
"547","Meranti House, Alie Street, London E1",4117,"flat",3,"3","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58539557/",343.083333333333
"548","York Way, London N1C",4117,"flat",3,"2","London St Pancras (Intl)","https://www.zoopla.co.uk/to-rent/details/40072520/",343.083333333333
"549","Wild Street, Holborn, Covent Garden WC2B",4225,"flat",3,"3","Covent Garden","https://www.zoopla.co.uk/to-rent/details/58999745/",352.083333333333
"550","Wild Street, Covent Garden WC2B",4225,"flat",3,"3","Covent Garden","https://www.zoopla.co.uk/to-rent/details/58890520/",352.083333333333
"551","Wild Street, London WC2B",4225,"flat",3,"3","Covent Garden","https://www.zoopla.co.uk/to-rent/details/58791443/",352.083333333333
"552","Broad Court, Covent Garden, London WC2B",4312,"flat",3,"2","Covent Garden","https://www.zoopla.co.uk/to-rent/details/58698228/",359.333333333333
"553","Chicheley Street, County Hall, London SE1",4333,"flat",3,"2","Waterloo","https://www.zoopla.co.uk/to-rent/details/58880541/",361.083333333333
"554","Westking Place, London WC1H",4333,"flat",3,"2","King's Cross St. Pancras","https://www.zoopla.co.uk/to-rent/details/58835468/",361.083333333333
"555","102 Great Titchfield Street, London W1W",4333,"flat",3,"2","Goodge Street","https://www.zoopla.co.uk/to-rent/details/56807623/",361.083333333333
"556","Kingsway, London WC2B",4500,"flat",3,"2","Holborn","https://www.zoopla.co.uk/to-rent/details/58490786/",375
"557","Tradewind Heights, London SE16",4500,"flat",3,"2","Rotherhithe","https://www.zoopla.co.uk/to-rent/details/58201402/",375
